id	filename	md5	size	state
0085c623-bcdd-4b71-960c-a42acd0e53e4	801c2c60-5dc2-43f7-949f-18b5a35a4ca3.htseq.counts.gz	4bfe0e3c85512a673c822fa01763cb21	255034	validated
0168550b-f361-49e2-832e-913e9e783240	2eeb46a1-0422-4a77-b58d-3b7d57d51b44.htseq.counts.gz	b11432b3e7e9ece3a8a31d84d7ddc693	258320	validated
031eaab8-67fc-484c-ac4c-2678758ced23	ec8f3bbf-4325-4a82-a1e2-206d47381386.htseq.counts.gz	86b0ccee3734513547756e6bd54d8cff	253610	validated
051d3b55-a9f1-4f26-bcff-0dd28044d282	a85824a2-de8d-4c52-942f-d8af5fe92ea9.htseq.counts.gz	0bd28c24a7323c73a8433291b97cf712	249147	validated
05cbea1f-fb0b-4422-95a1-89b7bfea5f32	8cbca0d4-0cbd-47b8-8643-331c67840817.htseq.counts.gz	2392c65cc88665731e9cfb8e84bb42f4	255499	validated
06024e67-5afb-4bd7-98af-1a5ef7abd554	3a04fb30-378c-48a0-a02e-85cf81b31b43.htseq.counts.gz	bb66f1f847107d7d2ad310e6fa720712	255526	validated
061eb87c-0340-4d44-b22e-86795c0b539d	c72c44df-8109-4088-b763-6c4ec474e375.htseq.counts.gz	067f5073453d1053009ce51a8ea09efb	260920	validated
068af932-2cb0-4f7c-b4bd-42ebbea91d58	497d8716-c8a0-4b3d-b0ec-b491f0f056cd.htseq.counts.gz	d01f51973a6435bfd6456eeed06d905a	259248	validated
06b98f02-9853-4c2f-87fa-1e0a454ef4bc	b42d8f67-8e05-4302-ae87-783dfb38a58a.htseq.counts.gz	c1db9547274a79d545d4db7e25bde969	255323	validated
07c8cc99-db2a-4c30-8e75-247707a6027d	134c413b-57dd-4d6e-9a67-ba4780b0e758.htseq.counts.gz	fecf8a73ba509b87a5d3e6d295c40b01	259239	validated
0be2e699-7dc3-4991-a4e1-8d56a54ae6c7	e68b0db1-da01-475f-aa4e-6f7f87bbc135.htseq.counts.gz	be3bf3419e56edf1705e62aea2366673	255392	validated
0f85b341-a638-4e83-a85d-272736dfaf38	526b6171-5947-439d-b61f-4604309532e9.htseq.counts.gz	8c492c96725fb91574597c891b175aae	256750	validated
10de4282-01e0-4990-9f89-9cf643a7c9d1	4d3842d1-c643-4659-98e9-8d613144fa91.htseq.counts.gz	8e46704f1a41e654f91da0a82d6e2fce	243340	validated
12aa0ca8-5466-4677-a304-0584d1e806d5	84f524b2-4e5b-46bf-aa8a-81779ab29f90.htseq.counts.gz	1ed530a0f2305cf1e30c0ec30da7fcba	258472	validated
13d2dcab-108b-4fd7-ab92-4beab709abd3	afc60bb6-6efc-4174-ade2-d148223ddf4b.htseq.counts.gz	3a3145df95bcc3ef34bf3b1ac0e90871	260480	validated
15877ef9-8b99-4f7c-8c7b-4ba02d7c7991	9075b4ab-16ef-4cdd-bfe5-855d18b15e11.htseq.counts.gz	d52e92bcdcf32c66a5a7e0a6e8d68aad	255624	validated
17441421-ce79-4dbe-9bce-276b1c840919	0d2efe0a-c0a9-4a75-bf04-b5dbf497b561.htseq.counts.gz	e7635da451d9b1a08e6c6569830f0c75	252788	validated
